id,skillType,nameKey,descKey,abilityId,cooldown,castTime,targetGroup,targetOption,targetCount,effectKey,isEnable,animClip,startupDelay,priority
SoldierBasicSkill,Basic,SoldierBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack,0.3,2
ArcherBasicSkill,Basic,ArcherBasicSkill_Name,,RangedAttack,0.0,0.0,Enemy,General,1,ArrowEffect01,True,Attack,0.54,2
SwordmanBasicSkill,Basic,SwordmanBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Slash01,True,Attack,0.3,2
LancerBasicSkill,Basic,LancerBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Crush01,True,Attack,0.21,2
PriestBasicSkill,Basic,PriestBasicSkill_Name,,Heal,0.0,0.0,Ally,General,1,HealEffect01,True,Heal,0.21,2
AxemanBasicSkill,Basic,AxemanBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,Slash_Storm01,True,Attack,0.36,2
GrandGeneralBasicSkill,Basic,GrandGeneralBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,Slash_Storm01,True,Attack,0.36,2
WizardBasicSkill,Basic,WizardBasicSkill_Name,,MagicAttack,0.0,0.0,Enemy,General,1,Magic_Star01,True,Attack,0.195,2
KnightBasicSkill,Basic,KnightBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Spark01,True,Attack,0.195,2
TemplerBasicSkill,Basic,TemplerBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Critical01,True,Attack,0.0,2
,,,,,,,,,,,,,,
SlimeBasicSkill,Basic,SK_SLIME_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Debuff_Stun01,True,Attack,0.195,2
BatBasicSkill,Basic,SK_BAT_BASIC,,RangedAttack,0.0,0.0,Enemy,General,1,Proj_ArcaneBolt01,True,Attack01,0.195,2
SkeletonBasicSkill,Basic,SK_SKELETON_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack,0.09,2
SkeletonArcherBasicSkill,Basic,SK_SKELETONARCHER_BASIC,,RangedAttack,0.0,0.0,Enemy,General,1,ArrowEffect01,True,Attack,0.45,2
OrcBasicSkill,Basic,SK_ORC_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Slash_Cross01,True,Attack,0.24,2
WerewolfBasicSkill,Basic,SK_WEREWOLF_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Shatter01,True,Attack,0.36,2
ArmoredSkeletonBasicSkill,Basic,SK_ARMOREDSKELETON_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Slash_Cross01,True,Attack,0.36,2
GreatswordSkeletonBasicSkill,Basic,SK_GREATSWORDSKELETON_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Support_BuffAttack01,True,Attack,0.33,2
OrcRiderBasicSkill,Basic,SK_ORCRIDER_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Pierce01,True,Attack,0.33,2
ArmoredOrcBasicSkill,Basic,SK_ARMORED_ORC_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Pierce01,True,Attack,0.33,2
WerebearBasicSkill,Basic,SK_WEREBEAR_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Hit_Claw01,True,Attack02,0.33,2
NecroBasicSkill,Basic,SK_NECRO_BASIC,,MagicAttack,0.0,0.0,Enemy,General,1,Magic_Dark01,True,Attack,0.33,2
EliteOrcBasicSkill,Basic,SK_ELITEORC_BASIC,,MeleeAttack,0.0,0.0,Enemy,General,1,Magic_Explosion01,True,Attack,0.21,2
,,SK_SOLDIER_T2,,,,,,,,,,,,
SK_SOLDIER_T2,Active,SK_SOLDIER_T2,,MeleeAttack,6.0,0.3,Enemy,General,3,Hit_Splash01,True,Attack02,0.24,1
SK_ARCHER_T2,Active,SK_ARCHER_T2,,RangedAttack,6.0,0.3,Enemy,General,3,ArrowEffect02,True,Attack02,0.78,1
SK_SWORDSMAN_T2,Active,SK_SWORDSMAN_T2,,MeleeAttack,6.0,0.3,Enemy,General,2,Hit_Slash02,False,Attack02,0.0,1
SK_SWORDSMAN_T3,Active,SK_SWORDSMAN_T3,,MeleeAttack,9.0,0.4,Enemy,General,3,Hit_Slash02,True,Attack3,0.405,1
SK_LANCER_T2,Active,SK_LANCER_T2,,MeleeAttack,6.0,0.3,Enemy,General,3,Hit_Heavy01,True,Attack02,0.12,1
SK_PRIEST_T3,Active,SK_PRIEST_T3,,Heal,6.0,0.3,Ally,General,15,HealEffect01,True,Heal,0.21,1
SK_AXEMAN_T2,Active,SK_AXEMAN_T2,,MeleeAttack,6.0,0.3,Enemy,General,2,Hit_Shockwave01,False,Attack02,0.0,1
SK_AXEMAN_T3,Active,SK_AXEMAN_T3,,MeleeAttack,9.0,0.4,Enemy,General,3,Hit_Blood01,True,Attack03,0.3,1
SK_WIZARD_T2,Active,SK_WIZARD_T2,,MagicAttack,6.0,0.3,Enemy,General,3,Magic_Meteor01,True,Attack02,0.45,1
SK_KNIGHT_T3,Active,SK_KNIGHT_T3,,MeleeAttack,9.0,0.4,Enemy,General,3,Magic_Explosion01,True,Attack03,0.6,1
SK_ORC_Active,Active,SK_ORC_ACTIVE,,MeleeAttack,6.0,0.3,Enemy,General,3,Slash_Storm01,True,Attack02,0.21,1
SK_WEREWOLF_Active,Active,SK_WEREWOLF_ACTIVE,,MeleeAttack,6.0,0.3,Enemy,General,3,Hit_Slash02,True,Attack02,0.63,1
SK_ARMSKEL_Active,Active,SK_ARMSKEL_ACTIVE,,MeleeAttack,9.0,0.4,Enemy,General,3,Hit_Slash02,True,Attack02,0.15,1
SK_GSSKEL_Active,Active,SK_GSSKEL_ACTIVE,,MeleeAttack,6.0,0.3,Enemy,General,3,Hit_Shockwave01,True,Attack02,0.525,1
SK_ORCRIDER_Active,Active,SK_ORCRIDER_ACTIVE,,MeleeAttack,6.0,0.3,Enemy,General,3,Debuff_Burn01,True,Attack03,0.525,1
SK_ARMORC_Active,Active,SK_ARMORC_ACTIVE,,MeleeAttack,9.0,0.4,Enemy,General,3,Hit_Shockwave01,True,Attack03,0.525,1
SK_WEREBEAR_Active,Active,SK_WEREBEAR_ACTIVE,,MeleeAttack,6.0,0.3,Enemy,General,3,Hit_Claw01,True,Attack02,0.525,1
SK_NECRO_Active,Active,SK_NECRO_ACTIVE,,MagicAttack,6.0,0.4,Enemy,General,7,Magic_Necro01,True,Attack02,0.42,1
SK_ELITEORC_Active,Active,SK_ELITEORC_ACTIVE,,MeleeAttack,4.0,0.3,Enemy,General,7,Magic_Nova01,True,Attack02,0.18,1
demonABasicSkill,Basic,demonABasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
demonBBasicSkill,Basic,demonBBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
demonCBasicSkill,Basic,demonCBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
demonDBasicSkill,Basic,demonDBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
demonEBasicSkill,Basic,demonEBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
DemonessABasicSkill,Basic,DemonessABasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
DemonessBBasicSkill,Basic,DemonessBBasicSkill_Name,,MagicAttack,0.0,0.0,Enemy,General,1,Magic_Star01,True,Attack01,0.3,2
BlackKnightABasicSkill,Basic,BlackKnightABasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
BlackKnightBBasicSkill,Basic,BlackKnightBBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
BlackKnightCBasicSkill,Basic,BlackKnightCBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
WarlockBasicSkill,Basic,WarlockBasicSkill_Name,,MagicAttack,0.0,0.0,Enemy,General,1,Magic_Star01,True,Attack01,0.3,2
LavaSlimeBasicSkill,Basic,LavaSlimeBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
HellbatBasicSkill,Basic,HellbatBasicSkill_Name,,RangedAttack,0.0,0.0,Enemy,General,1,ArrowEffect01,True,Attack01,0.3,2
GhostfireBasicSkill,Basic,GhostfireBasicSkill_Name,,MagicAttack,0.0,0.0,Enemy,General,1,Magic_Star01,True,Attack01,0.3,2
BloodMonsterBBasicSkill,Basic,BloodMonsterBBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
BloodMonsterABasicSkill,Basic,BloodMonsterABasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
HellhoundBasicSkill,Basic,HellhoundBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
EyeballMonsterBasicSkill,Basic,EyeballMonsterBasicSkill_Name,,MagicAttack,0.0,0.0,Enemy,General,1,Magic_Star01,True,Attack01,0.3,2
FlameGolemBasicSkill,Basic,FlameGolemBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
MinotaurBasicSkill,Basic,MinotaurBasicSkill_Name,,MeleeAttack,0.0,0.0,Enemy,General,1,HitEffect01,True,Attack01,0.3,2
SK_DEMON_A_Active,Active,SK_DEMON_A_Active,,MeleeAttack,6.0,0.3,Enemy,General,2,Hit_Slash01,True,Attack02,0.3,1
SK_DEMON_B_Active,Active,SK_DEMON_B_Active,,MeleeAttack,6.0,0.3,Enemy,General,3,Hit_Shockwave01,True,Attack02,0.3,1
SK_DEMON_C_Active,Active,SK_DEMON_C_Active,,MeleeAttack,6.0,0.3,Enemy,General,1,Hit_Heavy01,True,Attack02,0.3,1
SK_DEMON_D_Active,Active,SK_DEMON_D_Active,,MeleeAttack,6.0,0.3,Enemy,General,3,Slash_Storm01,True,Attack02,0.3,1
SK_DEMON_E_Active,Active,SK_DEMON_E_Active,,MeleeAttack,9.0,0.4,Enemy,General,1,Hit_Critical01,True,Attack02,0.3,1
SK_DEMONESS_A_Active,Active,SK_DEMONESS_A_Active,,MeleeAttack,6.0,0.3,Enemy,General,2,Hit_Slash02,True,Attack02,0.3,1
SK_DEMONESS_B_Active,Active,SK_DEMONESS_B_Active,,MagicAttack,6.0,0.3,Enemy,General,3,Magic_Meteor01,True,Attack02,0.3,1
SK_BLACK_KNIGHT_A_Active,Active,SK_BLACK_KNIGHT_A_Active,,MeleeAttack,6.0,0.3,Enemy,General,1,Hit_Pierce01,True,Attack02,0.3,1
SK_BLACK_KNIGHT_B_Active,Active,SK_BLACK_KNIGHT_B_Active,,MeleeAttack,6.0,0.3,Enemy,General,3,Support_BuffAttack01,True,Attack02,0.3,1
SK_BLACK_KNIGHT_C_Active,Active,SK_BLACK_KNIGHT_C_Active,,MeleeAttack,9.0,0.4,Enemy,General,1,Hit_Blood01,True,Attack02,0.3,1
SK_WARLOCK_Active,Active,SK_WARLOCK_Active,,MagicAttack,6.0,0.3,Enemy,General,3,Magic_Dark01,True,Attack02,0.3,1
SK_LAVA_SLIME_Active,Active,SK_LAVA_SLIME_Active,,MeleeAttack,6.0,0.3,Enemy,General,1,Debuff_Burn01,True,Attack02,0.3,1
SK_HELLBAT_Active,Active,SK_HELLBAT_Active,,RangedAttack,6.0,0.3,Enemy,General,1,Debuff_Stun01,True,Attack02,0.3,1
SK_GHOSTFIRE_Active,Active,SK_GHOSTFIRE_Active,,MagicAttack,6.0,0.3,Enemy,General,2,Magic_Star01,True,Attack02,0.3,1
SK_BLOOD_MONSTER_B_Active,Active,SK_BLOOD_MONSTER_B_Active,,MeleeAttack,6.0,0.3,Enemy,General,1,Hit_Slash01,True,Attack02,0.3,1
SK_BLOOD_MONSTER_A_Active,Active,SK_BLOOD_MONSTER_A_Active,,MeleeAttack,6.0,0.3,Enemy,General,2,Hit_Shatter01,True,Attack02,0.3,1
SK_HELLHOUND_Active,Active,SK_HELLHOUND_Active,,MeleeAttack,6.0,0.3,Enemy,General,1,Hit_Pierce01,True,Attack02,0.3,1
SK_EYEBALL_MONSTER_Active,Active,SK_EYEBALL_MONSTER_Active,,MagicAttack,6.0,0.3,Enemy,General,2,Debuff_Stun01,True,Attack02,0.3,1
SK_FLAME_GOLEM_Active,Active,SK_FLAME_GOLEM_Active,,MeleeAttack,9.0,0.4,Enemy,General,3,Magic_Explosion01,True,Attack02,0.3,1
SK_MINOTAUR_Active,Active,SK_MINOTAUR_Active,,MeleeAttack,9.0,0.4,Enemy,General,1,Hit_Critical01,True,Attack02,0.3,1
SK_GRAND_GENERAL_Active,Active,SK_GRAND_GENERAL_Active,,MeleeAttack,9.0,0.4,Enemy,General,1,Hit_Critical01,True,Attack02,0.3,1
